Date,Player,Runs,Mins,BF,4s,6s,SR,Inns,Oppn,Ground,Runs_only,Not_Outs
2009-01-03,JD Ryder (NZ),32,59,43,1,3,74.41,1,v West Indies,Christchurch,32,0
2009-01-03,BB McCullum (NZ),1,10,2,0,0,50,1,v West Indies,Christchurch,1,0
2009-01-03,JM How (NZ),27,60,36,2,0,75,1,v West Indies,Christchurch,27,0
2009-01-03,LRPL Taylor (NZ),13,32,20,0,0,65,1,v West Indies,Christchurch,13,0
2009-01-03,DR Flynn (NZ),4,6,5,0,0,80,1,v West Indies,Christchurch,4,0
2009-01-03,JDP Oram (NZ),25,29,23,2,1,108.69,1,v West Indies,Christchurch,25,0
2009-01-03,GD Elliott (NZ),30*,40,27,1,1,111.11,1,v West Indies,Christchurch,30*,1
2009-01-03,DL Vettori (NZ),0,2,1,0,0,0,1,v West Indies,Christchurch,0,0
2009-01-03,KD Mills (NZ),6,12,7,0,0,85.71,1,v West Indies,Christchurch,6,0
2009-01-03,TG Southee (NZ),6*,6,4,1,0,150,1,v West Indies,Christchurch,6*,1
2009-01-03,CH Gayle (WI),36,49,31,4,1,116.12,2,v New Zealand,Christchurch,36,0
2009-01-03,S Chattergoon (WI),6,15,14,1,0,42.85,2,v New Zealand,Christchurch,6,0
2009-01-03,RR Sarwan (WI),67*,113,65,3,1,103.07,2,v New Zealand,Christchurch,67*,1
2009-01-03,XM Marshall (WI),2,12,11,0,0,18.18,2,v New Zealand,Christchurch,2,0
2009-01-03,BP Nash (WI),15,27,23,0,1,65.21,2,v New Zealand,Christchurch,15,0
2009-01-03,KA Pollard (WI),3,10,5,0,0,60,2,v New Zealand,Christchurch,3,0
2009-01-03,D Ramdin (WI),28*,28,18,3,0,155.55,2,v New Zealand,Christchurch,28*,1
2009-01-07,CH Gayle (WI),18,39,24,3,0,75,1,v New Zealand,Wellington,18,0
2009-01-07,XM Marshall (WI),0,2,3,0,0,0,1,v New Zealand,Wellington,0,0
2009-01-07,RR Sarwan (WI),5,14,15,1,0,33.33,1,v New Zealand,Wellington,5,0
2009-01-07,S Chanderpaul (WI),45,137,77,4,0,58.44,1,v New Zealand,Wellington,45,0
2009-01-07,SE Findlay (WI),8,42,25,2,0,32,1,v New Zealand,Wellington,8,0
2009-01-07,D Ramdin (WI),1,6,10,0,0,10,1,v New Zealand,Wellington,1,0
2009-01-07,KA Pollard (WI),1,9,5,0,0,20,1,v New Zealand,Wellington,1,0
2009-01-07,JE Taylor (WI),4,22,25,0,0,16,1,v New Zealand,Wellington,4,0
2009-01-07,DBL Powell (WI),1,5,4,0,0,25,1,v New Zealand,Wellington,1,0
2009-01-07,NO Miller (WI),25*,50,36,2,0,69.44,1,v New Zealand,Wellington,25*,1
2009-01-07,FH Edwards (WI),13,24,27,1,0,48.14,1,v New Zealand,Wellington,13,0
2009-01-07,JD Ryder (NZ),14,26,20,1,0,70,2,v West Indies,Wellington,14,0
2009-01-07,BB McCullum (NZ),18,24,14,3,0,128.57,2,v West Indies,Wellington,18,0
2009-01-07,JM How (NZ),0,11,6,0,0,0,2,v West Indies,Wellington,0,0
2009-01-07,LRPL Taylor (NZ),51*,74,50,5,3,102,2,v West Indies,Wellington,51*,1
2009-01-07,DR Flynn (NZ),23*,64,34,3,0,67.64,2,v West Indies,Wellington,23*,1
2009-01-10,BB McCullum (NZ),26,64,50,3,0,52,1,v West Indies,Auckland,26,0
2009-01-10,MJ Guptill (NZ),122*,201,135,8,2,90.37,1,v West Indies,Auckland,122*,1
2009-01-10,MS Sinclair (NZ),2,12,11,0,0,18.18,1,v West Indies,Auckland,2,0
2009-01-10,LRPL Taylor (NZ),75,99,87,6,1,86.2,1,v West Indies,Auckland,75,0
2009-01-10,DR Flynn (NZ),0,3,2,0,0,0,1,v West Indies,Auckland,0,0
2009-01-10,NT Broom (NZ),24*,20,17,0,2,141.17,1,v West Indies,Auckland,24*,1
2009-01-10,CH Gayle (WI),46*,46,37,4,3,124.32,2,v New Zealand,Auckland,46*,1
2009-01-10,S Chattergoon (WI),17*,46,26,2,0,65.38,2,v New Zealand,Auckland,17*,1
2009-01-10,H Masakadza (ZIM),16,21,16,3,0,100,1,v Bangladesh,Dhaka,16,0
2009-01-10,V Sibanda (ZIM),15,62,35,2,0,42.85,1,v Bangladesh,Dhaka,15,0
