Team 1,Team 2,Winner,Margin,Ground,Match Date,,,,,,
New Zealand,Sri Lanka,New Zealand,45 runs,Mount Maunganui,3-Jan-19,,,,,,
New Zealand,Sri Lanka,New Zealand,21 runs,Mount Maunganui,5-Jan-19,,,,,,
New Zealand,Sri Lanka,New Zealand,115 runs,Nelson,8-Jan-19,,,,,,
Australia,India,Australia,34 runs,Sydney,12-Jan-19,,,,,,
Australia,India,India,6 wickets,Adelaide,15-Jan-19,,,,,,
Australia,India,India,7 wickets,Melbourne,18-Jan-19,,,,,,
South Africa,Pakistan,Pakistan,5 wickets,Port Elizabeth,19-Jan-19,,,,,,
South Africa,Pakistan,South Africa,5 wickets,Durban,22-Jan-19,,,,,,
New Zealand,India,India,8 wickets,Napier,23-Jan-19,,,,,,
U.A.E.,Nepal,U.A.E.,3 wickets,ICCA Dubai,25-Jan-19,,,,,,
South Africa,Pakistan,South Africa,13 runs,Centurion,25-Jan-19,,,,,,
New Zealand,India,India,90 runs,Mount Maunganui,26-Jan-19,,,,,,
U.A.E.,Nepal,Nepal,145 runs,ICCA Dubai,26-Jan-19,,,,,,
South Africa,Pakistan,Pakistan,8 wickets,Johannesburg,27-Jan-19,,,,,,
New Zealand,India,India,7 wickets,Mount Maunganui,28-Jan-19,,,,,,
U.A.E.,Nepal,Nepal,4 wickets,ICCA Dubai,28-Jan-19,,,,,,
South Africa,Pakistan,South Africa,7 wickets,Cape Town,30-Jan-19,,,,,,
New Zealand,India,New Zealand,8 wickets,Hamilton,31-Jan-19,,,,,,
New Zealand,India,India,35 runs,Wellington,3-Feb-19,,,,,,
New Zealand,Bangladesh,New Zealand,8 wickets,Napier,13-Feb-19,,,,,,
New Zealand,Bangladesh,New Zealand,8 wickets,Christchurch,16-Feb-19,,,,,,
New Zealand,Bangladesh,New Zealand,88 runs,Dunedin,20-Feb-19,,,,,,
West Indies,England,England,6 wickets,Bridgetown,20-Feb-19,,,,,,
West Indies,England,West Indies,26 runs,Bridgetown,22-Feb-19,,,,,,
West Indies,England,no result,,St George's,25-Feb-19,,,,,,
West Indies,England,England,29 runs,St George's,27-Feb-19,,,,,,
Afghanistan,Ireland,Afghanistan,5 wickets,Dehradun,28-Feb-19,,,,,,
Afghanistan,Ireland,no result,,Dehradun,2-Mar-19,,,,,,
India,Australia,India,6 wickets,Hyderabad (Deccan),2-Mar-19,,,,,,
West Indies,England,West Indies,7 wickets,Gros Islet,2-Mar-19,,,,,,
South Africa,Sri Lanka,South Africa,8 wickets,Johannesburg,3-Mar-19,,,,,,
Afghanistan,Ireland,Ireland,4 wickets,Dehradun,5-Mar-19,,,,,,
India,Australia,India,8 runs,Nagpur,5-Mar-19,,,,,,
South Africa,Sri Lanka,South Africa,113 runs,Centurion,6-Mar-19,,,,,,
Afghanistan,Ireland,Afghanistan,109 runs,Dehradun,8-Mar-19,,,,,,
India,Australia,Australia,32 runs,Ranchi,8-Mar-19,,,,,,
Afghanistan,Ireland,Ireland,5 wickets,Dehradun,10-Mar-19,,,,,,
India,Australia,Australia,4 wickets,Mohali,10-Mar-19,,,,,,
South Africa,Sri Lanka,South Africa,71 runs,Durban,10-Mar-19,,,,,,
India,Australia,Australia,35 runs,Delhi,13-Mar-19,,,,,,
South Africa,Sri Lanka,South Africa,6 wickets,Port Elizabeth,13-Mar-19,,,,,,
South Africa,Sri Lanka,South Africa,41 runs,Cape Town,16-Mar-19,,,,,,
Australia,Pakistan,Australia,8 wickets,Sharjah,22-Mar-19,,,,,,
Australia,Pakistan,Australia,8 wickets,Sharjah,24-Mar-19,,,,,,
Australia,Pakistan,Australia,80 runs,Abu Dhabi,27-Mar-19,,,,,,
Australia,Pakistan,Australia,6 runs,Dubai (DSC),29-Mar-19,,,,,,
