SNo,Country,Team Matches Played,Matches Won,Matches Lost,Matches Tied,Matches With No Result,Win/Loss Ratio,Avg Runs Per Wicket Batting,Avg Runs Per Six Balls Batting,Number Of Team Innings Batting,Highest Team Score Batting,Lowest Completed Score Batting
1,England,117,58,53,2,4,1.094,24.81,8.32,117,241,80
2,Australia,125,67,53,2,3,1.264,26.46,8.43,125,263,79
3,South Africa,121,70,49,1,1,1.428,27.06,8.17,121,241,89
4,West Indies,124,54,62,3,5,0.87,22.57,7.77,121,245,45
5,New Zealand,131,61,59,8,3,1.033,23.42,8.14,130,243,60
6,India,134,83,44,3,4,1.886,30.82,8.33,131,260,74
7,Pakistan,151,92,55,3,1,1.672,23.68,7.64,151,205,74
8,Sri Lanka,128,59,65,2,2,0.907,21.41,7.71,127,260,82
9,Zimbabwe,76,18,56,2,0,0.321,20.09,7.35,76,200,84
10,Bermuda,15,4,10,0,1,0.4,13.83,6,15,158,70
11,Netherlands,75,39,32,1,3,1.218,22.39,7.52,73,206,39
12,Bangladesh,96,32,62,0,2,0.516,20.45,7.58,96,215,70
13,Kenya,38,15,23,0,0,0.652,16.62,6.34,38,183,56
14,Namibia,16,12,4,0,0,3,24.85,8.17,16,240,96
15,Ireland,98,41,48,2,7,0.854,20.7,7.62,94,225,68
16,Scotland,65,29,32,1,3,0.906,22.84,7.75,62,252,81
17,Afghanistan,81,55,25,1,0,2.2,23.04,7.88,81,278,72
