Team,Total,First,Last,Best,Total_Matches,Won,Lost,Tie,NR,Win%,Current Ranking
Australia,12,1975,2019,Champions 5 times,94,69,23,1,1,74.73,5
 India,12,1975,2019,"Champions (1983, 2011)",84,53,29,1,1,64.45,2
 West Indies,12,1975,2019,"Champions (1975, 1979)",80,43,35,0,2,55.12,9
 England,12,1975,2019,Champions (2019),83,48,32,2,1,59.75,1
 Pakistan,12,1975,2019,Champions (1992),79,45,32,0,2,58.44,6
 Sri Lanka,12,1975,2019,Champions (1996),80,38,39,1,2,49.35,8
 New Zealand,12,1975,2019,"Runners-up (2015, 2019)",89,54,33,1,1,61.93,3
 South Africa,8,1992,2019,"Semi-finals (1992, 1999, 2007, 2015)",64,38,23,2,1,61.9,4
 Zimbabwe,9,1983,2015,"Super 6s (1999, 2003)",57,11,42,1,3,21.29,14
 Bangladesh,6,1999,2019,"Quarter-finals (2015), Super 8s (2007)",40,14,25,0,1,35.89,7
 Ireland,3,2007,2015,Super 8s (2007),21,7,13,1,0,35.71,11
 Netherlands,4,1996,2011,"Group Stage (1996, 2003, 2007, 2011)",20,2,18,0,0,10,12
 Scotland,3,1999,2015,"Group Stage (1999, 2007, 2015)",14,0,14,0,0,0,15
 Afghanistan,2,2015,2019,"Group Stage (2015, 2019)",15,1,14,0,0,6.66,10
