Player_Name,Country,Mins,BF,4s,6s,SR,Oppn,Ground,Date,Runs,Not_Outs
G Gambhir,INDIA,105,68,5,0,91.17,v Sri Lanka,Dambulla,1/28/2009,62,0
SR Tendulkar,INDIA,15,16,0,0,31.25,v Sri Lanka,Dambulla,1/28/2009,5,0
SK Raina,INDIA,100,71,3,1,76.05,v Sri Lanka,Dambulla,1/28/2009,54,0
Yuvraj Singh,INDIA,52,40,2,0,57.5,v Sri Lanka,Dambulla,1/28/2009,23,0
MS Dhoni,INDIA,85,65,5,0,93.84,v Sri Lanka,Dambulla,1/28/2009,61,1
RG Sharma,INDIA,44,30,3,0,83.33,v Sri Lanka,Dambulla,1/28/2009,25,1
V Sehwag,INDIA,58,26,7,0,161.53,v Sri Lanka,Colombo (RPS),1/31/2009,42,0
SR Tendulkar,INDIA,11,9,0,0,66.66,v Sri Lanka,Colombo (RPS),1/31/2009,6,0
G Gambhir,INDIA,31,28,4,0,96.42,v Sri Lanka,Colombo (RPS),1/31/2009,27,0
Yuvraj Singh,INDIA,100,88,7,1,75,v Sri Lanka,Colombo (RPS),1/31/2009,66,0
SK Raina,INDIA,74,43,0,1,67.44,v Sri Lanka,Colombo (RPS),1/31/2009,29,0
MS Dhoni,INDIA,55,35,0,0,65.71,v Sri Lanka,Colombo (RPS),1/31/2009,23,0
YK Pathan,INDIA,33,28,2,0,75,v Sri Lanka,Colombo (RPS),1/31/2009,21,0
Z Khan,INDIA,35,23,0,1,73.91,v Sri Lanka,Colombo (RPS),1/31/2009,17,0
P Kumar,INDIA,22,21,1,0,71.42,v Sri Lanka,Colombo (RPS),1/31/2009,15,0
PP Ojha,INDIA,1,0,0,0,0,v Sri Lanka,Colombo (RPS),1/31/2009,0,1
V Sehwag,INDIA,165,90,17,0,128.88,v Sri Lanka,Colombo (RPS),2/3/2009,116,0
SR Tendulkar,INDIA,9,12,0,1,58.33,v Sri Lanka,Colombo (RPS),2/3/2009,7,0
G Gambhir,INDIA,12,9,2,0,111.11,v Sri Lanka,Colombo (RPS),2/3/2009,10,0
Yuvraj Singh,INDIA,126,95,17,1,123.15,v Sri Lanka,Colombo (RPS),2/3/2009,117,0
MS Dhoni,INDIA,70,45,1,0,77.77,v Sri Lanka,Colombo (RPS),2/3/2009,35,1
SK Raina,INDIA,13,14,1,0,64.28,v Sri Lanka,Colombo (RPS),2/3/2009,9,0
YK Pathan,INDIA,40,38,4,3,155.26,v Sri Lanka,Colombo (RPS),2/3/2009,59,1
V Sehwag,INDIA,13,8,1,0,62.5,v Sri Lanka,Colombo (RPS),2/5/2009,5,0
G Gambhir,INDIA,214,147,14,1,102.04,v Sri Lanka,Colombo (RPS),2/5/2009,150,0
MS Dhoni,INDIA,140,96,4,2,97.91,v Sri Lanka,Colombo (RPS),2/5/2009,94,0
Yuvraj Singh,INDIA,5,6,1,0,83.33,v Sri Lanka,Colombo (RPS),2/5/2009,5,0
YK Pathan,INDIA,1,1,0,0,0,v Sri Lanka,Colombo (RPS),2/5/2009,0,0
SK Raina,INDIA,65,37,4,1,132.43,v Sri Lanka,Colombo (RPS),2/5/2009,49,1
RG Sharma,INDIA,12,6,0,0,66.66,v Sri Lanka,Colombo (RPS),2/5/2009,4,1
G Gambhir,INDIA,37,15,2,0,86.66,v Sri Lanka,Colombo (RPS),2/8/2009,13,0
V Sehwag,INDIA,6,6,1,0,100,v Sri Lanka,Colombo (RPS),2/8/2009,6,0
SK Raina,INDIA,4,3,0,0,0,v Sri Lanka,Colombo (RPS),2/8/2009,0,0
Yuvraj Singh,INDIA,86,62,11,1,117.74,v Sri Lanka,Colombo (RPS),2/8/2009,73,0
RG Sharma,INDIA,31,22,1,0,68.18,v Sri Lanka,Colombo (RPS),2/8/2009,15,0
MS Dhoni,INDIA,85,58,1,2,91.37,v Sri Lanka,Colombo (RPS),2/8/2009,53,0
