Player,Overs,Maidens,Runs,Wkts,Econ,Inns,Oppn,Ground,Date
FH Edwards (WI),6,1,26,3,4.33,1,v New Zealand,Christchurch,3-Jan-09
DBL Powell (WI),5,0,18,0,3.6,1,v New Zealand,Christchurch,3-Jan-09
JE Taylor (WI),6,0,26,2,4.33,1,v New Zealand,Christchurch,3-Jan-09
KA Pollard (WI),2,0,26,0,13,1,v New Zealand,Christchurch,3-Jan-09
NO Miller (WI),6,0,26,2,4.33,1,v New Zealand,Christchurch,3-Jan-09
CH Gayle (WI),3,0,28,1,9.33,1,v New Zealand,Christchurch,3-Jan-09
RR Sarwan (WI),DNB,-,-,-,-,1,v New Zealand,Christchurch,3-Jan-09
XM Marshall (WI),DNB,-,-,-,-,1,v New Zealand,Christchurch,3-Jan-09
D Ramdin (WI),DNB,-,-,-,-,1,v New Zealand,Christchurch,3-Jan-09
S Chattergoon (WI),DNB,-,-,-,-,1,v New Zealand,Christchurch,3-Jan-09
BP Nash (WI),DNB,-,-,-,-,1,v New Zealand,Christchurch,3-Jan-09
KD Mills (NZ),6,0,27,1,4.5,2,v West Indies,Christchurch,3-Jan-09
TG Southee (NZ),5.5,1,38,1,6.51,2,v West Indies,Christchurch,3-Jan-09
JS Patel (NZ),5,0,39,1,7.8,2,v West Indies,Christchurch,3-Jan-09
JDP Oram (NZ),5,0,25,1,5,2,v West Indies,Christchurch,3-Jan-09
DL Vettori (NZ),6,0,28,1,4.66,2,v West Indies,Christchurch,3-Jan-09
BB McCullum (NZ),DNB,-,-,-,-,2,v West Indies,Christchurch,3-Jan-09
DR Flynn (NZ),DNB,-,-,-,-,2,v West Indies,Christchurch,3-Jan-09
LRPL Taylor (NZ),DNB,-,-,-,-,2,v West Indies,Christchurch,3-Jan-09
JM How (NZ),DNB,-,-,-,-,2,v West Indies,Christchurch,3-Jan-09
GD Elliott (NZ),DNB,-,-,-,-,2,v West Indies,Christchurch,3-Jan-09
JD Ryder (NZ),DNB,-,-,-,-,2,v West Indies,Christchurch,3-Jan-09
KD Mills (NZ),10,2,31,2,3.1,1,v West Indies,Wellington,7-Jan-09
TG Southee (NZ),10,2,36,2,3.6,1,v West Indies,Wellington,7-Jan-09
JDP Oram (NZ),2,0,4,0,2,1,v West Indies,Wellington,7-Jan-09
GD Elliott (NZ),2,0,9,0,4.5,1,v West Indies,Wellington,7-Jan-09
DL Vettori (NZ),10,3,20,4,2,1,v West Indies,Wellington,7-Jan-09
JS Patel (NZ),3.4,0,8,1,2.18,1,v West Indies,Wellington,7-Jan-09
JD Ryder (NZ),4,0,17,1,4.25,1,v West Indies,Wellington,7-Jan-09
DR Flynn (NZ),DNB,-,-,-,-,1,v West Indies,Wellington,7-Jan-09
LRPL Taylor (NZ),DNB,-,-,-,-,1,v West Indies,Wellington,7-Jan-09
JM How (NZ),DNB,-,-,-,-,1,v West Indies,Wellington,7-Jan-09
BB McCullum (NZ),DNB,-,-,-,-,1,v West Indies,Wellington,7-Jan-09
FH Edwards (WI),7,0,53,0,7.57,2,v New Zealand,Wellington,7-Jan-09
DBL Powell (WI),7,0,25,3,3.57,2,v New Zealand,Wellington,7-Jan-09
JE Taylor (WI),3,0,10,0,3.33,2,v New Zealand,Wellington,7-Jan-09
NO Miller (WI),3,0,22,0,7.33,2,v New Zealand,Wellington,7-Jan-09
CH Gayle (WI),0.3,0,11,0,22,2,v New Zealand,Wellington,7-Jan-09
KA Pollard (WI),DNB,-,-,-,-,2,v New Zealand,Wellington,7-Jan-09
D Ramdin (WI),DNB,-,-,-,-,2,v New Zealand,Wellington,7-Jan-09
RR Sarwan (WI),DNB,-,-,-,-,2,v New Zealand,Wellington,7-Jan-09
SE Findlay (WI),DNB,-,-,-,-,2,v New Zealand,Wellington,7-Jan-09
XM Marshall (WI),DNB,-,-,-,-,2,v New Zealand,Wellington,7-Jan-09
S Chanderpaul (WI),DNB,-,-,-,-,2,v New Zealand,Wellington,7-Jan-09
FH Edwards (WI),10,0,65,1,6.5,1,v New Zealand,Auckland,10-Jan-09
DBL Powell (WI),10,0,51,1,5.1,1,v New Zealand,Auckland,10-Jan-09
LS Baker (WI),10,1,29,2,2.9,1,v New Zealand,Auckland,10-Jan-09
BP Nash (WI),10,0,43,0,4.3,1,v New Zealand,Auckland,10-Jan-09
NO Miller (WI),6,0,45,0,7.5,1,v New Zealand,Auckland,10-Jan-09
CH Gayle (WI),4,0,29,0,7.25,1,v New Zealand,Auckland,10-Jan-09
RR Sarwan (WI),DNB,-,-,-,-,1,v New Zealand,Auckland,10-Jan-09
D Ramdin (WI),DNB,-,-,-,-,1,v New Zealand,Auckland,10-Jan-09
SE Findlay (WI),DNB,-,-,-,-,1,v New Zealand,Auckland,10-Jan-09
S Chattergoon (WI),DNB,-,-,-,-,1,v New Zealand,Auckland,10-Jan-09
S Chanderpaul (WI),DNB,-,-,-,-,1,v New Zealand,Auckland,10-Jan-09
KD Mills (NZ),5,0,30,0,6,2,v West Indies,Auckland,10-Jan-09
MR Gillespie (NZ),5,1,23,0,4.6,2,v West Indies,Auckland,10-Jan-09
TG Southee (NZ),0.3,0,10,0,20,2,v West Indies,Auckland,10-Jan-09
MJ Guptill (NZ),DNB,-,-,-,-,2,v West Indies,Auckland,10-Jan-09
LRPL Taylor (NZ),DNB,-,-,-,-,2,v West Indies,Auckland,10-Jan-09
DL Vettori (NZ),DNB,-,-,-,-,2,v West Indies,Auckland,10-Jan-09
NT Broom (NZ),DNB,-,-,-,-,2,v West Indies,Auckland,10-Jan-09
BB McCullum (NZ),DNB,-,-,-,-,2,v West Indies,Auckland,10-Jan-09
GD Elliott (NZ),DNB,-,-,-,-,2,v West Indies,Auckland,10-Jan-09
DR Flynn (NZ),DNB,-,-,-,-,2,v West Indies,Auckland,10-Jan-09
MS Sinclair (NZ),DNB,-,-,-,-,2,v West Indies,Auckland,10-Jan-09
Mashrafe Mortaza (BDESH),10,0,41,2,4.1,1,v Zimbabwe,Dhaka,10-Jan-09
Mahbubul Alam (BDESH),10,1,66,0,6.6,1,v Zimbabwe,Dhaka,10-Jan-09
Nazmul Hossain (BDESH),4,0,24,0,6,1,v Zimbabwe,Dhaka,10-Jan-09
Shakib Al Hasan (BDESH),10,3,23,3,2.3,1,v Zimbabwe,Dhaka,10-Jan-09
Naeem Islam (BDESH),10,0,32,3,3.2,1,v Zimbabwe,Dhaka,10-Jan-09
Mohammad Ashraful (BDESH),4,1,9,0,2.25,1,v Zimbabwe,Dhaka,10-Jan-09
Mehrab Hossain jnr (BDESH),2,0,7,0,3.5,1,v Zimbabwe,Dhaka,10-Jan-09
Raqibul Hasan (BDESH),DNB,-,-,-,-,1,v Zimbabwe,Dhaka,10-Jan-09
Junaid Siddique (BDESH),DNB,-,-,-,-,1,v Zimbabwe,Dhaka,10-Jan-09
Mushfiqur Rahim (BDESH),DNB,-,-,-,-,1,v Zimbabwe,Dhaka,10-Jan-09
Tamim Iqbal (BDESH),DNB,-,-,-,-,1,v Zimbabwe,Dhaka,10-Jan-09
EC Rainsford (ZIM),6,0,26,1,4.33,2,v Bangladesh,Dhaka,10-Jan-09
P Utseya (ZIM),10,3,22,2,2.2,2,v Bangladesh,Dhaka,10-Jan-09
T Mupariwa (ZIM),5,0,29,0,5.8,2,v Bangladesh,Dhaka,10-Jan-09
KM Dabengwa (ZIM),10,0,30,1,3,2,v Bangladesh,Dhaka,10-Jan-09
RW Price (ZIM),9.2,1,35,2,3.75,2,v Bangladesh,Dhaka,10-Jan-09
E Chigumbura (ZIM),6,0,21,1,3.5,2,v Bangladesh,Dhaka,10-Jan-09
H Masakadza (ZIM),DNB,-,-,-,-,2,v Bangladesh,Dhaka,10-Jan-09
V Sibanda (ZIM),DNB,-,-,-,-,2,v Bangladesh,Dhaka,10-Jan-09
S Matsikenyeri (ZIM),DNB,-,-,-,-,2,v Bangladesh,Dhaka,10-Jan-09
SC Williams (ZIM),DNB,-,-,-,-,2,v Bangladesh,Dhaka,10-Jan-09
T Taibu (ZIM),DNB,-,-,-,-,2,v Bangladesh,Dhaka,10-Jan-09
EC Rainsford (ZIM),10,0,41,3,4.1,1,v Sri Lanka,Dhaka,12-Jan-09
T Mupariwa (ZIM),8,0,46,0,5.75,1,v Sri Lanka,Dhaka,12-Jan-09
E Chigumbura (ZIM),8,0,42,1,5.25,1,v Sri Lanka,Dhaka,12-Jan-09
P Utseya (ZIM),10,2,28,1,2.8,1,v Sri Lanka,Dhaka,12-Jan-09
RW Price (ZIM),10,3,21,1,2.1,1,v Sri Lanka,Dhaka,12-Jan-09
KM Dabengwa (ZIM),4,0,26,0,6.5,1,v Sri Lanka,Dhaka,12-Jan-09
SC Williams (ZIM),DNB,-,-,-,-,1,v Sri Lanka,Dhaka,12-Jan-09
T Taibu (ZIM),DNB,-,-,-,-,1,v Sri Lanka,Dhaka,12-Jan-09
H Masakadza (ZIM),DNB,-,-,-,-,1,v Sri Lanka,Dhaka,12-Jan-09
V Sibanda (ZIM),DNB,-,-,-,-,1,v Sri Lanka,Dhaka,12-Jan-09
S Matsikenyeri (ZIM),DNB,-,-,-,-,1,v Sri Lanka,Dhaka,12-Jan-09
KMDN Kulasekara (SL),7,2,13,3,1.85,2,v Zimbabwe,Dhaka,12-Jan-09
T Thushara (SL),7,1,19,1,2.71,2,v Zimbabwe,Dhaka,12-Jan-09
AD Mathews (SL),6,0,19,1,3.16,2,v Zimbabwe,Dhaka,12-Jan-09
BAW Mendis (SL),5.2,0,15,3,2.81,2,v Zimbabwe,Dhaka,12-Jan-09
M Muralitharan (SL),3,1,4,2,1.33,2,v Zimbabwe,Dhaka,12-Jan-09
WU Tharanga (SL),DNB,-,-,-,-,2,v Zimbabwe,Dhaka,12-Jan-09
DPMD Jayawardene (SL),DNB,-,-,-,-,2,v Zimbabwe,Dhaka,12-Jan-09
CK Kapugedera (SL),DNB,-,-,-,-,2,v Zimbabwe,Dhaka,12-Jan-09
