,Player_Name,Country,Runs,Mins,BF,4s,6s,SR,Inns,Oppn,Ground,Date
0,JD Ryder ,NZ,32,59,43,1,3,74.41,1,v West Indies,Christchurch,3 Jan 2009
1,BB McCullum ,NZ,1,10,2,0,0,50.00,1,v West Indies,Christchurch,3 Jan 2009
2,JM How ,NZ,27,60,36,2,0,75.00,1,v West Indies,Christchurch,3 Jan 2009
3,LRPL Taylor ,NZ,13,32,20,0,0,65.00,1,v West Indies,Christchurch,3 Jan 2009
4,DR Flynn ,NZ,4,6,5,0,0,80.00,1,v West Indies,Christchurch,3 Jan 2009
5,JDP Oram ,NZ,25,29,23,2,1,108.69,1,v West Indies,Christchurch,3 Jan 2009
6,GD Elliott ,NZ,30*,40,27,1,1,111.11,1,v West Indies,Christchurch,3 Jan 2009
7,DL Vettori ,NZ,0,2,1,0,0,0.00,1,v West Indies,Christchurch,3 Jan 2009
8,KD Mills ,NZ,6,12,7,0,0,85.71,1,v West Indies,Christchurch,3 Jan 2009
9,TG Southee ,NZ,6*,6,4,1,0,150.00,1,v West Indies,Christchurch,3 Jan 2009
10,JS Patel ,NZ,DNB,-,-,-,-,-,1,v West Indies,Christchurch,3 Jan 2009
11,CH Gayle ,WI,36,49,31,4,1,116.12,2,v New Zealand,Christchurch,3 Jan 2009
12,S Chattergoon ,WI,6,15,14,1,0,42.85,2,v New Zealand,Christchurch,3 Jan 2009
13,RR Sarwan ,WI,67*,113,65,3,1,103.07,2,v New Zealand,Christchurch,3 Jan 2009
14,XM Marshall ,WI,2,12,11,0,0,18.18,2,v New Zealand,Christchurch,3 Jan 2009
15,BP Nash ,WI,15,27,23,0,1,65.21,2,v New Zealand,Christchurch,3 Jan 2009
16,KA Pollard ,WI,3,10,5,0,0,60.00,2,v New Zealand,Christchurch,3 Jan 2009
17,D Ramdin ,WI,28*,28,18,3,0,155.55,2,v New Zealand,Christchurch,3 Jan 2009
18,FH Edwards ,WI,DNB,-,-,-,-,-,2,v New Zealand,Christchurch,3 Jan 2009
19,JE Taylor ,WI,DNB,-,-,-,-,-,2,v New Zealand,Christchurch,3 Jan 2009
20,DBL Powell ,WI,DNB,-,-,-,-,-,2,v New Zealand,Christchurch,3 Jan 2009
21,NO Miller ,WI,DNB,-,-,-,-,-,2,v New Zealand,Christchurch,3 Jan 2009
22,CH Gayle ,WI,18,39,24,3,0,75.00,1,v New Zealand,Wellington,7 Jan 2009
23,XM Marshall ,WI,0,2,3,0,0,0.00,1,v New Zealand,Wellington,7 Jan 2009
24,RR Sarwan ,WI,5,14,15,1,0,33.33,1,v New Zealand,Wellington,7 Jan 2009
25,S Chanderpaul ,WI,45,137,77,4,0,58.44,1,v New Zealand,Wellington,7 Jan 2009
26,SE Findlay ,WI,8,42,25,2,0,32.00,1,v New Zealand,Wellington,7 Jan 2009
27,D Ramdin ,WI,1,6,10,0,0,10.00,1,v New Zealand,Wellington,7 Jan 2009
28,KA Pollard ,WI,1,9,5,0,0,20.00,1,v New Zealand,Wellington,7 Jan 2009
29,JE Taylor ,WI,4,22,25,0,0,16.00,1,v New Zealand,Wellington,7 Jan 2009
30,DBL Powell ,WI,1,5,4,0,0,25.00,1,v New Zealand,Wellington,7 Jan 2009
31,NO Miller ,WI,25*,50,36,2,0,69.44,1,v New Zealand,Wellington,7 Jan 2009
32,FH Edwards ,WI,13,24,27,1,0,48.14,1,v New Zealand,Wellington,7 Jan 2009
33,JD Ryder ,NZ,14,26,20,1,0,70.00,2,v West Indies,Wellington,7 Jan 2009
34,BB McCullum ,NZ,18,24,14,3,0,128.57,2,v West Indies,Wellington,7 Jan 2009
35,JM How ,NZ,0,11,6,0,0,0.00,2,v West Indies,Wellington,7 Jan 2009
36,LRPL Taylor ,NZ,51*,74,50,5,3,102.00,2,v West Indies,Wellington,7 Jan 2009
