,Player_Name,Country,Overs,Maidens,Runs,Wkts,Econ,Inns,Oppn,Ground,Date
0,FH Edwards ,WI,6.0,1,26,3,4.33,1,v New Zealand,Christchurch,3 Jan 2009
1,DBL Powell ,WI,5.0,0,18,0,3.60,1,v New Zealand,Christchurch,3 Jan 2009
2,JE Taylor ,WI,6.0,0,26,2,4.33,1,v New Zealand,Christchurch,3 Jan 2009
3,KA Pollard ,WI,2.0,0,26,0,13.00,1,v New Zealand,Christchurch,3 Jan 2009
4,NO Miller ,WI,6.0,0,26,2,4.33,1,v New Zealand,Christchurch,3 Jan 2009
5,CH Gayle ,WI,3.0,0,28,1,9.33,1,v New Zealand,Christchurch,3 Jan 2009
6,RR Sarwan ,WI,DNB,-,-,-,-,1,v New Zealand,Christchurch,3 Jan 2009
7,XM Marshall ,WI,DNB,-,-,-,-,1,v New Zealand,Christchurch,3 Jan 2009
8,D Ramdin ,WI,DNB,-,-,-,-,1,v New Zealand,Christchurch,3 Jan 2009
9,S Chattergoon ,WI,DNB,-,-,-,-,1,v New Zealand,Christchurch,3 Jan 2009
10,BP Nash ,WI,DNB,-,-,-,-,1,v New Zealand,Christchurch,3 Jan 2009
11,KD Mills ,NZ,6.0,0,27,1,4.50,2,v West Indies,Christchurch,3 Jan 2009
12,TG Southee ,NZ,5.5,1,38,1,6.51,2,v West Indies,Christchurch,3 Jan 2009
13,JS Patel ,NZ,5.0,0,39,1,7.80,2,v West Indies,Christchurch,3 Jan 2009
14,JDP Oram ,NZ,5.0,0,25,1,5.00,2,v West Indies,Christchurch,3 Jan 2009
15,DL Vettori ,NZ,6.0,0,28,1,4.66,2,v West Indies,Christchurch,3 Jan 2009
16,BB McCullum ,NZ,DNB,-,-,-,-,2,v West Indies,Christchurch,3 Jan 2009
17,DR Flynn ,NZ,DNB,-,-,-,-,2,v West Indies,Christchurch,3 Jan 2009
18,LRPL Taylor ,NZ,DNB,-,-,-,-,2,v West Indies,Christchurch,3 Jan 2009
19,JM How ,NZ,DNB,-,-,-,-,2,v West Indies,Christchurch,3 Jan 2009
20,GD Elliott ,NZ,DNB,-,-,-,-,2,v West Indies,Christchurch,3 Jan 2009
21,JD Ryder ,NZ,DNB,-,-,-,-,2,v West Indies,Christchurch,3 Jan 2009
22,KD Mills ,NZ,10.0,2,31,2,3.10,1,v West Indies,Wellington,7 Jan 2009
23,TG Southee ,NZ,10.0,2,36,2,3.60,1,v West Indies,Wellington,7 Jan 2009
